group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,scene
2025/Day001_Oat,128,metric_bias_corrected,320000,0.1217681640625,0.15789693802893162,0.35477251623921763,0.02050926819741726,0.1788466540920747,0.10717460705266292,0.5297666093675238,0.30963753523414644,2025/Day001_Oat
2025/Day001_Oat,128,metric_scale_shift,320000,0.1217681640625,0.20549785915613175,0.5314175016362618,0.034804100489616394,0.17264922253291987,0.08781413623740214,0.5223803363518759,0.30963753523414644,2025/Day001_Oat
2025/Day001_Oat,128,relative_scale_shift,320000,0.1217681640625,0.11204044114351272,0.27411938722214557,-0.004136023247241974,0.46624464013648365,0.2765510986232381,0.5752822130464832,0.30963753523414644,2025/Day001_Oat
2025/Day001_Wheat,8,metric_raw,400000,0.0143778125,0.018653202444314957,0.045165965104058514,0.0006673722124099731,0.03168983004083059,0.0651392073559601,0.5332232293747119,0.03893019617924425,2025/Day001_Wheat
2025/Day001_Wheat,8,metric_bias_corrected,400000,0.0143778125,0.018653201949596406,0.04516596521601548,0.0006673715043067932,0.03168980168722549,0.06513928564639002,0.5331762858264625,0.03893019617924425,2025/Day001_Wheat
2025/Day001_Wheat,8,metric_scale_shift,400000,0.0143778125,0.028991210980415343,0.08115511953265286,0.0007704717826843262,0.02985359396993881,0.05171878701173773,0.5273083422952834,0.03893019617924425,2025/Day001_Wheat
2025/Day001_Wheat,8,relative_scale_shift,400000,0.0143778125,0.014983509256839752,0.038374740335837154,0.0002968193554878235,0.1800510916723143,0.15110898135129924,0.557403424318465,0.03893019617924425,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_raw,400000,0.0255320703125,0.03208646494746208,0.0722501000287409,0.0011980133020877838,0.053043353602751885,0.08685985713228322,0.5347534814724085,0.05834150892332682,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_bias_corrected,400000,0.0255320703125,0.032086466295719145,0.07225010124090686,0.0011980152201652528,0.05304337693522596,0.08685984055639852,0.5347432743703069,0.05834150892332682,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_scale_shift,400000,0.0255320703125,0.05111387632131577,0.14727389617016537,0.0014352742505073547,0.05088480739490927,0.06613175266194503,0.5274656105718358,0.05834150892332682,2025/Day001_Wheat
