image,valid_pixels,mae_m,rmse_m,absrel,sqrel,rmse_log,delta_1_25,delta_1_25_2,delta_1_25_3
2011_09_26_drive_0036_sync_image_0000000059_image_02.png,84607,1.553961186134697,2.904002484124199,0.09051779358304317,0.32257599778962687,0.12235401093382019,0.9561620196910421,0.9906272530641672,0.9980261680475611
2011_09_26_drive_0036_sync_image_0000000119_image_02.png,75369,1.9728909750255144,3.565520838797171,0.11429429076453711,0.5327538111567833,0.14622636232654684,0.9554458729716462,0.9849274900821292,0.9916013214982287
2011_09_26_drive_0036_sync_image_0000000182_image_03.png,48133,1.7158235485592923,4.374567840838597,0.09338534280848694,0.5266771840222305,0.14148055259627013,0.9425134523092266,0.9746951156171442,0.9915442627719029
2011_09_26_drive_0036_sync_image_0000000242_image_03.png,50979,1.5429716726070495,4.091088641411274,0.0748270089028093,0.48104621917377705,0.169980907073927,0.9414857098020754,0.977049373271347,0.9857980737166284
2011_09_26_drive_0036_sync_image_0000000302_image_03.png,67027,6.921312983869423,12.64420190200163,0.17640561236622354,3.510015415427655,0.40606554477538065,0.7003446372357408,0.7226341623524848,0.8412580005072583
2011_09_26_drive_0036_sync_image_0000000365_image_02.png,85300,3.089071064481702,6.402311473362513,0.14109231734947109,1.0280404226741877,0.21552785576226374,0.7726025791324737,0.9225439624853459,0.9928604923798359
2011_09_26_drive_0036_sync_image_0000000470_image_02.png,83557,4.60005599675138,9.504108225328755,0.18056557560718386,2.01043181126745,0.30892074756081883,0.7545148820565601,0.8828703759110548,0.9353255861268356
2011_09_26_drive_0036_sync_image_0000000596_image_03.png,72499,4.173786432381757,9.422936983826201,0.1260455723203266,1.678764306889451,0.25348997066708734,0.8241217120236142,0.8963985710147726,0.9456130429385233
2011_09_26_drive_0036_sync_image_0000000716_image_03.png,84847,2.3113662159595907,4.441258620205763,0.10517416526377785,0.5770314284741122,0.17484883462677595,0.8711091729819558,0.9466333517979422,0.9981142527137082
2011_09_26_drive_0036_sync_image_0000000791_image_03.png,78081,1.8934069815458934,4.171452050964259,0.10433721955392644,0.6437113403633604,0.1712732159520817,0.8685979943904407,0.9649466579577618,0.9918674197307924
2011_09_26_drive_0079_sync_image_0000000062_image_02.png,69505,2.272942879124345,6.266334534322,0.12211212199107159,0.939468117803747,0.22262350817005874,0.878512337241925,0.9408244011222214,0.9653981727933242
2011_09_26_drive_0095_sync_image_0000000044_image_02.png,76927,1.1367976770097643,2.3277608099681055,0.08625520048521784,0.19828721447958939,0.1135467596208166,0.9293876012323371,0.9983230855226384,0.9995710218778843
2011_09_26_drive_0095_sync_image_0000000104_image_02.png,70613,1.826717496828217,3.318755826339072,0.13566613315241438,0.701006571231278,0.18894176061344775,0.8234744310537719,0.9717757353461827,0.9782901165507768
2011_09_26_drive_0095_sync_image_0000000167_image_03.png,78986,1.457488390908758,2.793484283481683,0.07965542690663276,0.2630639227887921,0.10941717256765017,0.9626389486744487,0.993707745676449,0.999113766996683
2011_09_26_drive_0095_sync_image_0000000227_image_03.png,44121,3.5264320950546915,5.100607715562306,0.23198831172463114,1.5094279031340603,0.2634764390304393,0.6795856848212869,0.8223068380136443,0.9970762222071122
2011_09_26_drive_0113_sync_image_0000000032_image_02.png,42271,2.7491683486744813,5.497845352272286,0.20325779408182373,0.9643283509852246,0.30907325701965116,0.5850819710912919,0.9464881360743772,0.9625511580043056
2011_09_28_drive_0037_sync_image_0000000023_image_02.png,49735,1.9629900781883238,5.025035948849821,0.10003321800835313,0.774605368245506,0.1879718737308224,0.8797024228410576,0.9519855232733487,0.9791293857444455
2011_09_29_drive_0026_sync_image_0000000014_image_02.png,69182,1.7952839866143135,3.341735567222211,0.121220426916146,0.45675522048488687,0.15655661576667776,0.8234367320979445,0.9888699372669192,0.9963863432684802
2011_09_30_drive_0016_sync_image_0000000017_image_03.png,100629,1.7748760606492255,3.415269206120763,0.07755139934232756,0.3170509330108599,0.11231515287361914,0.9429587892158324,0.9946834411551342,0.9990956881217145
2011_09_30_drive_0016_sync_image_0000000104_image_03.png,91563,1.1290093219115027,2.1987075441176125,0.06020786749574982,0.15860093737641598,0.08581171526864358,0.9723687515699573,0.998656662625733,0.9999563142317311
2011_09_30_drive_0016_sync_image_0000000170_image_02.png,98552,1.4983921081168823,3.261016904962701,0.06199524398236984,0.2567659444868671,0.09919614511939079,0.9589455312931244,0.9980720837730336,1.0
2011_09_30_drive_0016_sync_image_0000000230_image_02.png,82134,2.872823295674076,5.4672328714877825,0.10916640346371967,0.7687878630508036,0.1801666800084708,0.8431465653687876,0.9607105461806317,0.9912338373876836
2011_10_03_drive_0047_sync_image_0000000035_image_02.png,87835,2.4703120839272104,5.489264109265269,0.10824843835937374,0.7388623887662085,0.18170101581341389,0.8210622189332271,0.9697728695850174,0.9839357886947117
2011_10_03_drive_0047_sync_image_0000000116_image_03.png,81885,2.3401384783743238,4.761006654931733,0.1176848424539878,0.7691725642644528,0.20638418759597513,0.7515295841729255,0.9450570922635403,0.9922085852109666
2011_10_03_drive_0047_sync_image_0000000176_image_03.png,76578,2.493346084409267,4.82146184294315,0.12520655636587644,0.7571729103614089,0.2016170856709141,0.7368957141737836,0.9460158269999216,0.9995951839954034
2011_10_03_drive_0047_sync_image_0000000239_image_02.png,92924,3.0420217218721715,5.828048535651323,0.20241716201244442,1.1613186376944262,0.33065732080243704,0.5035728121906073,0.7719857087512376,0.9717511084326977
2011_10_03_drive_0047_sync_image_0000000299_image_02.png,90273,3.146326956854553,6.989308539608834,0.16354555886961425,1.398088092885222,0.3293188539254783,0.6831610780632082,0.8299159217041641,0.9153124411507316
2011_10_03_drive_0047_sync_image_0000000359_image_02.png,60132,3.3874998425466765,6.158528905497934,0.19105274415042625,1.3328876071658056,0.3180647766721286,0.6088605068848533,0.8092197166234285,0.9522217787534092
2011_10_03_drive_0047_sync_image_0000000422_image_03.png,81505,3.36274584290528,6.719174081259012,0.17851720167433913,1.6676971233021274,0.29509772713384674,0.6331268020366849,0.8210539230722042,0.9837310594442059
2011_10_03_drive_0047_sync_image_0000000482_image_03.png,77049,3.922594720173084,6.616532929707051,0.19687313857398434,1.6791619788493726,0.35877420800153076,0.5919479811548495,0.7528066555049384,0.8973121000921491
2011_10_03_drive_0047_sync_image_0000000542_image_03.png,88467,2.655092747910243,5.063026613789462,0.14974514221856752,0.9042856458420544,0.23684395300258126,0.6718098273932653,0.9422383487628155,0.986119117863158
2011_10_03_drive_0047_sync_image_0000000605_image_02.png,95154,2.642474151853831,4.506036748158114,0.1476677254496806,0.7307222777620797,0.21966590521013674,0.6899131933497278,0.9496290224268029,0.9963322613868045
2011_10_03_drive_0047_sync_image_0000000665_image_02.png,100698,3.7247767765312845,5.624296808495279,0.2178158577254584,1.2535387224864476,0.32291908900963057,0.5019960674492046,0.7825279548749727,0.9898508411289202
2011_10_03_drive_0047_sync_image_0000000728_image_03.png,101294,2.9756269065319834,5.2739347053506345,0.140658070867789,0.7638422422044618,0.19513416810411846,0.7339723971804846,0.9695638438604458,0.9956759531660315
2011_10_03_drive_0047_sync_image_0000000791_image_03.png,74040,2.5274603918524834,4.1000334119669635,0.14110638044511375,0.6093039988618068,0.18293136254225995,0.778484602917342,0.9823608860075634,0.9997163695299838
