pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
16,0.1,0.2,0.10-0.20 m,metric_bias_corrected,23199,0.13945745236863658,0.13876743720335108,0.15792014568557608,0.013081618221501163,0.08637227984358511,0.1526547781405083,0.5879132721237984,0.1414878398361459
16,0.1,0.2,0.10-0.20 m,metric_scale_shift,23199,0.13945745236863658,0.16700549598212713,0.29307149448837294,0.017614565767539545,0.06828166547246146,0.12197015749949466,0.5681279365489892,0.1414878398361459
16,0.1,0.2,0.10-0.20 m,relative_scale_shift,23199,0.13945745236863658,0.12625019204704416,0.13615755807786098,0.009380394058230828,0.30037041966154404,0.42786103571854306,0.7060649165912324,0.1414878398361459
16,0.2,0.5,0.20-0.50 m,metric_raw,14335,0.30188840687129403,0.2941874371699269,0.31386026945963275,0.017143124838843345,0.11924492882449411,0.23135371183531686,0.6094872689222184,0.31117178049726446
16,0.2,0.5,0.20-0.50 m,metric_bias_corrected,14335,0.30188840687129403,0.29418743168139316,0.3138602670913323,0.017143125836758567,0.11924498207826024,0.23135349964644386,0.6094175095919079,0.31117178049726446
16,0.2,0.5,0.20-0.50 m,metric_scale_shift,14335,0.30188840687129403,0.3064857953926142,0.37913248582909725,0.019803061084461244,0.08201393167965536,0.13647466706548175,0.5555633065922567,0.31117178049726446
16,0.2,0.5,0.20-0.50 m,relative_scale_shift,14335,0.30188840687129403,0.2723820173744545,0.28718497103548096,0.010376789198131314,0.3944627650969096,0.5604880201576659,0.7795605162190443,0.31117178049726446
16,0.5,1.0,0.50-1.00 m,metric_raw,3499,0.6617783652472135,0.6450445712651822,0.6634589700871044,-0.01978986390695193,0.17823918813644934,0.26610657562746204,0.6373249499857102,0.6737660410453907
16,0.5,1.0,0.50-1.00 m,metric_bias_corrected,3499,0.6617783652472135,0.6450445775339759,0.6634589845155388,-0.019789872628751908,0.17823905537548024,0.2661078650340954,0.6373249499857102,0.6737660410453907
16,0.5,1.0,0.50-1.00 m,metric_scale_shift,3499,0.6617783652472135,0.6346321043269094,0.6857547499074078,-0.008353163563002515,0.1512411611690792,0.24397068515683332,0.6201771934838526,0.6737660410453907
16,0.5,1.0,0.50-1.00 m,relative_scale_shift,3499,0.6617783652472135,0.5983390192128345,0.6222992559776696,-0.02945393499356401,0.4386454862999227,0.5988925148072578,0.8090883109459845,0.6737660410453907
16,1.0,inf,1.00+ m,metric_raw,1052,1.9334006653992395,1.8737211599096146,2.425507439173074,-0.08462947221763234,0.20040482909725205,0.2887064098911837,0.6397338403041825,2.460202542830763
16,1.0,inf,1.00+ m,metric_bias_corrected,1052,1.9334006653992395,1.8737211807599086,2.425507420012034,-0.08462947221763234,0.2004049186901225,0.28871151758477753,0.6397338403041825,2.460202542830763
16,1.0,inf,1.00+ m,metric_scale_shift,1052,1.9334006653992395,1.8287875226242007,2.4150490959270416,-0.05895543733023872,0.19474634018941486,0.28261529217928066,0.6330798479087453,2.460202542830763
16,1.0,inf,1.00+ m,relative_scale_shift,1052,1.9334006653992395,1.8149692676819775,2.3749945679756084,-0.09020215567527162,0.27357528788167246,0.5478482929529392,0.8070342205323194,2.460202542830763
32,0.0,0.02,0.00-0.02 m,metric_raw,655486,0.007130503645386782,0.02298984116015166,0.04442717140499703,0.002298074390037651,0.003761067662489983,0.0070572037385019356,0.5027457486983531,0.010021274020782586
32,0.0,0.02,0.00-0.02 m,metric_bias_corrected,655486,0.007130503645386782,0.022989840456338076,0.044427170761041586,0.002298075752198824,0.003761072520797722,0.007057225075303219,0.5027373689973409,0.010021274020782586
32,0.0,0.02,0.00-0.02 m,metric_scale_shift,655486,0.007130503645386782,0.03878811298806986,0.10329863117195823,0.0038331571705446247,-0.00811451583133096,0.0022364051884662443,0.5013603047976581,0.010021274020782586
32,0.0,0.02,0.00-0.02 m,relative_scale_shift,655486,0.007130503645386782,0.012205531000238062,0.054821535277984224,0.0003149884280682458,0.003238326862811232,0.01679519507965784,0.510061227682063,0.010021274020782586
32,0.02,0.05,0.02-0.05 m,metric_raw,213358,0.03301683672512866,0.04374830477124548,0.08158472054526111,0.0037517569219057342,0.03730751221140251,0.06283829869138981,0.5248596256057894,0.033860454966333
32,0.02,0.05,0.02-0.05 m,metric_bias_corrected,213358,0.03301683672512866,0.04374830630663261,0.08158472129833698,0.003751754926125954,0.03730749163010191,0.06283819638289381,0.5248549386477188,0.033860454966333
