scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,variant,pixel_separation,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_raw,8,20000,0.009865625,0.013409274888038634,0.04138821908371155,-0.0009628873586654663,0.06340679148585257,-0.009331757819309873,0.4846335697399527,0.0403467709219477
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_bias_corrected,8,20000,0.009865625,0.013409276103973388,0.04138821719627813,-0.000962890625,0.06340694349012989,-0.009331342085637002,0.48453078425326346,0.0403467709219477
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_scale_shift,8,20000,0.009865625,0.010017163276672363,0.04039227017378882,7.71061897277832e-05,-0.06341048155759645,0.009336560268672418,0.5147497173399116,0.0403467709219477
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,relative_scale_shift,8,20000,0.009865625,0.009902319145202636,0.04026893182398504,-8.00480842590332e-05,0.3598562501754926,0.1301641586737886,0.5691232397985404,0.0403467709219477
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_raw,16,20000,0.018669921875,0.024099892735481264,0.06180929728147974,-0.002016082787513733,0.08287248463806712,0.008234037743712504,0.49523736365033033,0.058356108236411346
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_bias_corrected,16,20000,0.018669921875,0.02409989175796509,0.061809301711032806,-0.0020160799026489257,0.08287225028494491,0.008233886237449514,0.49516054693501305,0.058356108236411346
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_scale_shift,16,20000,0.018669921875,0.018861470937728882,0.058486633691489556,0.0005640372753143311,-0.0828721376308267,-0.008238751790466656,0.504532186203718,0.058356108236411346
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,relative_scale_shift,16,20000,0.018669921875,0.018693447828292846,0.058137153847971634,0.00021993088722229004,0.5042286934051725,0.15332124327949725,0.5596865878015056,0.058356108236411346
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_raw,32,20000,0.03380390625,0.04181268496513367,0.09105009821426055,-0.003025504779815674,0.14530341168655608,0.015915331249884052,0.500526246546507,0.0901283477593161
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main,metric_bias_corrected,32,20000,0.03380390625,0.041812686920166015,0.09105009703127603,-0.003025500202178955,0.14530343821513322,0.015915553083981168,0.500526246546507,0.0901283477593161
