variant,pixel_separation,metric,images,mean,median,std
metric_bias_corrected,16,local_difference_rmse_m,32,0.10097104437414563,0.06325971603736917,0.07424312551472352
metric_bias_corrected,16,local_difference_pearson,32,0.06991084227397189,0.06436300009355789,0.06435738281261541
metric_bias_corrected,16,local_difference_spearman,32,0.03833823836404258,0.035458970730440124,0.048916162636799675
metric_bias_corrected,16,local_difference_sign_agreement,32,0.5132885706979833,0.5165862982676543,0.022363505207980874
metric_bias_corrected,32,local_difference_mae_m,32,0.05480950282812118,0.046282737207412716,0.02810410894153238
metric_bias_corrected,32,local_difference_rmse_m,32,0.14307038481283427,0.09707951927847727,0.10033778740712089
metric_bias_corrected,32,local_difference_pearson,32,0.09078790968482858,0.09228050417322436,0.0872967221537868
metric_bias_corrected,32,local_difference_spearman,32,0.05161668426908124,0.052037811604748865,0.06142804240029244
metric_bias_corrected,32,local_difference_sign_agreement,32,0.5152185812894918,0.5161683421742199,0.02419722228615426
metric_bias_corrected,64,local_difference_mae_m,32,0.08448902791887522,0.07182487225532531,0.04256923704867349
metric_bias_corrected,64,local_difference_rmse_m,32,0.1892058685435078,0.13324888403136625,0.12028602318662251
metric_bias_corrected,64,local_difference_pearson,32,0.1237176655493908,0.13923552501974862,0.10822805003824455
metric_bias_corrected,64,local_difference_spearman,32,0.07203629143030162,0.06728280901632172,0.07412983369129918
metric_bias_corrected,64,local_difference_sign_agreement,32,0.5217135120320653,0.5261565631172085,0.028452976135409706
metric_bias_corrected,128,local_difference_mae_m,32,0.12552192948013544,0.10533157739639282,0.0622581801822131
metric_bias_corrected,128,local_difference_rmse_m,32,0.2516310984150667,0.1808704519347349,0.1540033185870974
metric_bias_corrected,128,local_difference_pearson,32,0.13318840625987144,0.17290169756822302,0.13877877326828153
metric_bias_corrected,128,local_difference_spearman,32,0.07871892421289597,0.08997987646760426,0.08331375282873416
metric_bias_corrected,128,local_difference_sign_agreement,32,0.5279988530753359,0.5292305288051442,0.03495338278809672
metric_scale_shift,8,local_difference_mae_m,32,0.025885897657275198,0.021456371378898623,0.02095267635223929
metric_scale_shift,8,local_difference_rmse_m,32,0.07941986097273929,0.052544170200103005,0.060823278462595214
metric_scale_shift,8,local_difference_pearson,32,0.011798856307665442,0.011299352951767816,0.0471595242527008
metric_scale_shift,8,local_difference_spearman,32,0.017259229636606838,0.01242399545129614,0.04310463129359622
metric_scale_shift,8,local_difference_sign_agreement,32,0.5090169027382885,0.5120201463604902,0.022961910599249874
metric_scale_shift,16,local_difference_mae_m,32,0.0454078888386488,0.038332337307929995,0.036033891343674795
metric_scale_shift,16,local_difference_rmse_m,32,0.1206282057734305,0.08315590223459846,0.08992673655776068
metric_scale_shift,16,local_difference_pearson,32,0.028663251843970512,0.043750794145024,0.0905963595571324
metric_scale_shift,16,local_difference_spearman,32,0.02715537964644143,0.022445594421131677,0.05590207800437507
metric_scale_shift,16,local_difference_sign_agreement,32,0.5117038654018984,0.515328612734349,0.023313985067624617
metric_scale_shift,32,local_difference_mae_m,32,0.07671628358364106,0.06699251215457916,0.060852249733949725
metric_scale_shift,32,local_difference_rmse_m,32,0.1812054127980079,0.12969458876979006,0.13579092765273432
metric_scale_shift,32,local_difference_pearson,32,0.04244300952847532,0.04620822406313712,0.11858198505434177
metric_scale_shift,32,local_difference_spearman,32,0.03595652820316853,0.029405485158738802,0.07172715109662216
metric_scale_shift,32,local_difference_sign_agreement,32,0.5126220259319944,0.5140845786819471,0.02565723598721888
metric_scale_shift,64,local_difference_mae_m,32,0.12256685620248317,0.10479423956871033,0.09949542336567191
metric_scale_shift,64,local_difference_rmse_m,32,0.26243504068336043,0.20532678346072014,0.19915383076814583
metric_scale_shift,64,local_difference_pearson,32,0.059043502480966355,0.09603991392376002,0.15340527333379225
metric_scale_shift,64,local_difference_spearman,32,0.04690810881204843,0.037500822897320624,0.09210909483513816
metric_scale_shift,64,local_difference_sign_agreement,32,0.5142977517167382,0.5195553812457765,0.03286882189656349
metric_scale_shift,128,local_difference_mae_m,32,0.19026577612161638,0.15193577308654785,0.16674007425858187
metric_scale_shift,128,local_difference_rmse_m,32,0.3726605249673578,0.2922901580239096,0.30077094730024934
metric_scale_shift,128,local_difference_pearson,32,0.08589599923647659,0.11092480974401907,0.17210658818230257
