variant,pixel_separation,metric,images,mean,median,std
metric_scale_shift,8,local_difference_mae_m,20,0.02932558845281601,0.019990601992607118,0.02325178817888168
metric_scale_shift,8,local_difference_rmse_m,20,0.06738730131905249,0.03947638759652153,0.057053721300189944
metric_scale_shift,8,local_difference_pearson,20,0.030625873168975665,0.03312640472056474,0.057269499847887484
metric_scale_shift,8,local_difference_spearman,20,0.04648868409290213,0.04993706243550253,0.05954684950377935
metric_scale_shift,8,local_difference_sign_agreement,20,0.5228248313187639,0.5245905049325144,0.026697011398022632
metric_scale_shift,16,local_difference_mae_m,20,0.050836844952106476,0.03561056535243988,0.03968054715955165
metric_scale_shift,16,local_difference_rmse_m,20,0.1154479533195433,0.06282663977786612,0.09719442193658272
metric_scale_shift,16,local_difference_pearson,20,0.047346365717805074,0.05395983113489716,0.09789881874412629
metric_scale_shift,16,local_difference_spearman,20,0.06089287623911198,0.08056079550065631,0.07735754367233601
metric_scale_shift,16,local_difference_sign_agreement,20,0.5258352690218476,0.5296486826453424,0.029632222850406745
metric_scale_shift,32,local_difference_mae_m,20,0.08434417020320892,0.060093752551078794,0.06603406479723181
metric_scale_shift,32,local_difference_rmse_m,20,0.17903660808691713,0.10088929388150791,0.15307570954302266
metric_scale_shift,32,local_difference_pearson,20,0.07779610275382312,0.08568171018481927,0.13786004022633716
metric_scale_shift,32,local_difference_spearman,20,0.08961754139625167,0.12882872602696288,0.10786567691800357
metric_scale_shift,32,local_difference_sign_agreement,20,0.5339917252728857,0.5397725609145517,0.03810568686154312
metric_scale_shift,64,local_difference_mae_m,20,0.13534599133491518,0.09701105337142944,0.10815711484491967
metric_scale_shift,64,local_difference_rmse_m,20,0.28891074783460935,0.16163818878502675,0.25292190823243177
metric_scale_shift,64,local_difference_pearson,20,0.11768276792356425,0.11408291244276142,0.19493142935835506
metric_scale_shift,64,local_difference_spearman,20,0.12398216234809548,0.1813794116536998,0.15301154101779052
metric_scale_shift,64,local_difference_sign_agreement,20,0.5437963356536797,0.5600746686872727,0.04985035817016174
metric_scale_shift,128,local_difference_mae_m,20,0.21280759091854096,0.15150148630142213,0.18081638816498147
metric_scale_shift,128,local_difference_rmse_m,20,0.4488342383750979,0.24834269495148234,0.4106542340862696
metric_scale_shift,128,local_difference_pearson,20,0.14310494974401686,0.14966224011077928,0.2466570615575239
metric_scale_shift,128,local_difference_spearman,20,0.15682183527801047,0.21030091090981295,0.20372185241382187
metric_scale_shift,128,local_difference_sign_agreement,20,0.5540847747523252,0.5515924174927973,0.06328288569315038
relative_scale_shift,8,local_difference_mae_m,20,0.015134783496856688,0.01175323145389557,0.007480491425592739
relative_scale_shift,8,local_difference_rmse_m,20,0.03494049765515541,0.026640290470336885,0.017776962348279447
relative_scale_shift,8,local_difference_pearson,20,0.19356214349468387,0.22885138067245853,0.15278294665781691
relative_scale_shift,8,local_difference_spearman,20,0.13991066741053196,0.141740813363927,0.09168100958961377
relative_scale_shift,8,local_difference_sign_agreement,20,0.5574274176145423,0.5508762230615944,0.04904852651681674
relative_scale_shift,16,local_difference_mae_m,20,0.025670801424980162,0.02166976594924927,0.011812402612101579
relative_scale_shift,16,local_difference_rmse_m,20,0.050352681131385725,0.039560283946858725,0.023288843647516846
relative_scale_shift,16,local_difference_pearson,20,0.257854470856834,0.3045611456871766,0.19944567896231233
relative_scale_shift,16,local_difference_spearman,20,0.17096895936679643,0.18391038135634546,0.11419733395788488
relative_scale_shift,16,local_difference_sign_agreement,20,0.563177314624582,0.5580097339810817,0.050861622305411996
relative_scale_shift,32,local_difference_mae_m,20,0.04022087930679322,0.03780583431720734,0.017102537621177645
relative_scale_shift,32,local_difference_rmse_m,20,0.0714763217397277,0.061948087078120925,0.029281953584627908
relative_scale_shift,32,local_difference_pearson,20,0.33162626885761365,0.39701627193628064,0.2436552694458557
relative_scale_shift,32,local_difference_spearman,20,0.22044661894823153,0.24448850702412883,0.13908848361110362
relative_scale_shift,32,local_difference_sign_agreement,20,0.5752446087563221,0.5678361149874007,0.05404748100623883
relative_scale_shift,64,local_difference_mae_m,20,0.05759950402498246,0.05733238430023194,0.02233325731629848
relative_scale_shift,64,local_difference_rmse_m,20,0.09596858150055339,0.08745910078629668,0.03562152924230706
relative_scale_shift,64,local_difference_pearson,20,0.40162560940445474,0.483876929678715,0.27417800475050536
relative_scale_shift,64,local_difference_spearman,20,0.28453355217129245,0.3188256727885878,0.17131472915914994
relative_scale_shift,64,local_difference_sign_agreement,20,0.5956333827139096,0.5861034046479301,0.061448355784658064
relative_scale_shift,128,local_difference_mae_m,20,0.07870499174356461,0.07623675560951232,0.030507122467990037
relative_scale_shift,128,local_difference_rmse_m,20,0.12544026418560744,0.113085195946698,0.046744381113532484
relative_scale_shift,128,local_difference_pearson,20,0.45126608135426016,0.5337690820266892,0.2948947682721975
relative_scale_shift,128,local_difference_spearman,20,0.3510586091815787,0.39696202431226824,0.20116480296455777
relative_scale_shift,128,local_difference_sign_agreement,20,0.6164472355690951,0.6193024098261632,0.070425418915006
